restaurant_city,latitude,longitude
Acampo,38.1746398,-121.2785588
Acton,34.48074149999999,-118.1868378638664
Adelanto,34.582769899999995,-117.40921499999999
Agoura Hills-Malibu,34.1423837,-118.74902150000001
Agua Dulce,34.4963817,-118.3256348
Alamo,37.8560145,-121.99359432055685
Albion,39.2235117,-123.7686251
Aliso Viejo,33.576137599999996,-117.7258122
Alpine,38.5893934,-119.8345013
Alta Loma,34.122887,-117.59857749999999
Alturas,41.487123,-120.5423271
Alviso,37.426051,-121.97523729999999
American Canyon,38.223457,-122.22704307123536
Anaheim Hills,33.844408200000004,-117.7773862
Anchor Bay,38.8026883,-123.57778940000001
Anderson,40.448208,-122.2977815
Angel Island,37.862338,-122.43089275324257
Angels Camp,38.0695732,-120.5405039
Angwin,38.5783555,-122.44865154545454
Antelope,38.7082357,-121.3299513
Antioch,38.0049214,-121.80578899999999
Apple Valley,34.5008311,-117.18587590000001
Arbuckle,39.0168635,-122.0624415313232
Arcata,40.866517,-124.08283999999999
Arleta,34.2413266,-118.4322047
Arnold,39.518771,-123.39362309999999
Arroyo Grande,35.118586900000004,-120.590725
Arvin,35.209129,-118.82843100000001
Atascadero,35.4894169,-120.67072549999999
Atherton,37.453773,-122.20582720000002
Atwater,37.353521,-120.60310930084893
Atwater Village,34.1163979,-118.25646370000001
Avenal,36.0041223,-120.12902720000001
Azusa,34.1338751,-117.90560459999999
Badger,48.9779467,-56.04185855116675
Bakersfield,35.3738712,-119.01946389999999
Balboa Island,33.606555900000004,-117.89431432651638
Baldwin Park,34.0854739,-117.96117609999999
Banning,33.9255685,-116.875289
Barstow,34.8957684,-117.0172077
Bay Area,37.7884969,-122.3558473
Bay Point,38.0331145,-121.97930381529406
Baywood Park,35.3263634,-120.8351785
Bear Valley,37.5688237,-120.1193489
Beaumont,53.3525496,-113.41514340000002
Bell Gardens,33.9694561,-118.1503953
Belmont Shore,33.7572435,-118.1370107
Belvedere,37.872704399999996,-122.46441709999999
Belvedere-Tiburon,37.8771208,-122.4616696
Ben Lomond,40.0021074,-121.3066332
Benicia,38.049365,-122.1585777
Big Bear,43.23172255,-79.8555579186858
Big Bear City,34.267886,-116.84859785319149
Big Pine,37.16480120000001,-118.28992279999999
Blairsden,39.7753335,-120.60878046922966
Blairsden-Graeagle,39.7710521,-120.61994579999998
Bloomington,34.060665,-117.40080832546131
Blue Jay,34.2460204,-117.210297
Blue Lake,40.8746075,-123.97565448171578
Blythe,33.61347670000001,-114.59375370000001
Bodega,38.345194,-122.9738878
Bodega Bay,38.273528999999996,-123.0061118
Bolinas,37.909370200000005,-122.6863733
Bonita,32.664798,-117.01596176077473
Bonny Doon,37.0416156,-122.15052240000001
Boonville,39.0091667,-123.3661111
Boron,35.01992715,-117.66791822379915
Borrego Springs,33.2566792,-116.37826820000001
Boyes Hot Springs,38.3127545,-122.4868901485955
Bradley,35.8628636,-120.8037593106835
Brentwood,37.9317766,-121.69602659999998
Bridgehaven,38.433074700000006,-123.101945
Bridgeport,38.255757,-119.2312665
Brockway,39.22700570000001,-120.0074997
Brooks,50.571027,-111.893005
Burney,40.8884145,-121.67278262034249
Buttonwillow,35.418306,-119.43018293665756
CIty of Industry,40.7630341,-111.88487520000001
Calexico,32.679057199999995,-115.498703
Calimesa,34.003904399999996,-117.0619774
Cambria,35.564142499999996,-121.0811062
Cameron Park,38.682001850000006,-120.98514424518402
Camino,40.0409899,-122.17054669999999
Camp Pendleton,33.3107771,-117.4826115
Canyon Country,34.42332929999999,-118.4720281
Capay,39.7965477,-122.084428
Cardiff,44.9957448,-78.01461690000001
Cardiff By The Sea,33.0220155,-117.2803463
Cardiff by the Sea,33.0220155,-117.2803463
Cardiff-by-the-Sea,33.0220155,-117.2803463
Carmel Valley,36.48290245,-121.71417288463448
Carmel Valley Village,36.48290245,-121.71417288463448
Carmel-By-the-Sea,36.555238700000004,-121.92328789999999
Carmichael,38.62709845,-121.32224222755407
Carpinteria,34.3988838,-119.5184564
Casmalia,34.8380355,-120.53127849999998
Caspar,39.363504999999996,-123.815849
Castaic,34.488882200000006,-118.6228656
Castro Valley,37.71573685,-122.09063177147787
Castroville,36.7657904,-121.75800500000001
Cathedral City,33.822998049999995,-116.46687024271161
Cazadero,38.5334117,-123.0854625
Cedar Glen,34.2535896,-117.16465120000001
Cedar Grove,36.790774400000004,-118.6703779
Cedarville,41.5290606,-120.17327809999999
Central LA,37.37139019999999,-121.94410119072685
Ceres,37.5949316,-120.9577098
Chatsworth,34.2595715,-118.6023247
Cherry Valley,33.97956550000001,-116.97058444015579
Chester,40.298829,-121.23712498106977
Chico,39.728494500000004,-121.8374777
Chino,34.013356099999996,-117.690075
Citrus Heights,38.7071247,-121.2810611
City Industry,34.0197335,-117.95867539999999
Civilization,43.83787879999999,-79.4305082
Clarksburg,44.5487289,-80.4657729
Clearlake,38.9582307,-122.62637279999998
Clio,39.7495505,-120.56507863621441
Cloverdale,38.776218,-122.99300818666056
Clovis,36.8252277,-119.70291940000001
Coachella,33.68656595,-116.15327749528778
Colfax,39.1007902,-120.95329469999999
Colfax-Summit,36.3621926,-104.59158240000001
Coloma,38.799901399999996,-120.890216
Colton,34.0739016,-117.3136547
Commerce,34.002581,-118.156586
Cool,52.51459555,-8.393054294642852
Copperopolis,37.941764,-120.63679473786408
Corning,39.927657200000006,-122.17915559999999
Corralitos,36.9951268,-121.78940989713631
Cotati,38.326679799999994,-122.70684409999998
Covina,34.08214965,-117.87212381516031
Crescent City,41.755948,-124.201747
Crestline,34.2495525,-117.29389561188812
Crockett,38.036666,-122.20531126326466
Crowley Lake,37.564155,-118.7454082
Davenport,43.6715454,-79.4483222
Death Valley,36.42404725,-116.914043672057
Deer Park,43.68809,-79.39409350000001
Descanso,32.8528287,-116.61585249999999
Desert Hot Springs,33.961124,-116.5016784
Diamond Bar,34.028622600000006,-117.81033670000001
Dillon Beach,38.2481035,-122.95520923129016
Dinkey Creek,37.0867399,-119.1564351
Disneyland,33.8136476,-117.91971592742884
Dixon,38.4454641,-121.82329579999998
Dorrington,38.297418,-120.27356842381786
Downieville,39.5604439,-120.82821770000001
Duarte,34.1394513,-117.97728729999999
Duncans Mills,38.453803,-123.0550013
Dunlap,36.738281,-119.1209469
Dunsmuir,41.208209000000004,-122.271953
Eagle Mountain,33.857513700000005,-115.4872075
East Los Angeles,34.0239015,-118.17201570000002
Eastvale,33.974706700000006,-117.56654109999998
El Cajon,32.7947731,-116.96252690000001
El Centro,32.792,-115.56305139999999
El Cerrito,37.91540560000001,-122.30141100000002
El Dorado,38.75741370000001,-120.5276129
El Dorado Hills,38.67716825,-121.06431968581431
El Granada,37.513127000000004,-122.46731582660922
El Portal,37.6746526,-119.78406809999998
El Sereno,34.0811213,-118.17784950000001
El Sobrante,37.977447600000005,-122.2949894
El Toro,37.1205328,-121.67332140000002
Elk,39.1295408,-123.7158889
Elk Grove,38.4087993,-121.37161780000001
Elverta,38.713791,-121.4627326
Escalon,37.797427299999995,-120.9966033
Eureka,40.80207120000001,-124.16367290000001
Fair Oaks,38.64289700000001,-121.24624532104002
Fairfax,37.9872935,-122.58796740000001
Fall River Mills,41.00455615,-121.44117792686552
Fallbrook,33.3764196,-117.2511466
Farmington,44.613246999999994,-64.6647241
Fawnskin,34.2680621,-116.9425342
Felton,37.0415836,-122.0769929309627
Ferndale,40.576240999999996,-124.263944
Fiddletown,38.5037966,-120.75548909999998
Firebaugh,36.8588376,-120.45600719999999
Fish Camp,37.4785497,-119.6404311
Fletcher Cove Beach Park,32.991155,-117.2744815
Folsom,38.6779591,-121.17605829999998
Fontana,34.0922335,-117.435048
Foothill Ranch,33.683764399999994,-117.662249
Fortuna,40.597407000000004,-124.156034
Freedom,36.93908820000001,-121.77129750557287
Fulton,38.4956949,-122.7700047
Galt,38.2546373,-121.29994850000001
Garberville,40.100569,-123.796139
Gaviota,34.47165579999999,-120.2148716
Georgetown,46.18440770000001,-62.5315437
Glassell Park,34.1161201,-118.22896270000001
Glen Avon,34.015413,-117.49253294451084
Gold River,49.7807549,-126.04730149999999
Gonzales,36.492008500000004,-121.47843967541506
Granada Hills,34.26615579999999,-118.5174342
Grand Terrace,34.0339031,-117.3136544
Grant Grove,36.2554945,-117.9939712
Grass Valley,39.2190799,-121.06194620000001
Greenbrae,37.9485356,-122.5247031
Greenfield,36.320799799999996,-121.2438138
Gridley,39.363777299999995,-121.693583
Groveland,37.83826079999999,-120.23268940000001
Groveland-Big Oak Flat,37.856201,-120.20680995661155
Grover Beach,35.1209452,-120.62183700000001
Guadalupe,34.971644,-120.57183629999999
Gualala,38.7674439,-123.52982809999999
Hancock Park,34.0677801,-118.33263500000001
Hanford,36.3274502,-119.64568440000001
Harbor City,33.79110120000001,-118.3012604
Harbor Gateway,33.8542249,-118.29921979999999
Harmony,45.3389601,-63.197945499999996
Hawaiian Gardens,33.8284787,-118.0743137
Hemet,33.7475203,-116.97196840000001
Hercules,38.017144099999996,-122.28858079999999
Hermosa,38.0172961,-121.87241770000001
Hesperia,34.4263886,-117.3008784
Highland,34.1283442,-117.2086513
Highland Park,34.1099469,-118.1969828
Hillsborough,37.557252000000005,-122.3625291
Hilmar,37.4085479,-120.85020349999999
Hollister,36.8524545,-121.40160209999999
Homewood,44.65592325,-75.5881667806019
Hopland,38.972954200000004,-123.1163918
Hume,36.7849455,-118.9137179
Huntington Park,33.982704299999995,-118.21203429999998
Idyllwild,33.7402774,-116.71894240000002
Idyllwild-Pine Cove,33.7435011,-116.72377802857142
Imperial Beach,32.58394439999999,-117.11308490000002
Independence,36.821987,-118.20512944399435
Indian Wells,33.7217965,-116.3383034
Industry,34.0197335,-117.95867539999999
Inverness,46.259677200000006,-71.521879
Inyokern,35.65205500000001,-117.81766295868346
Irvine Spectrum,33.654236499999996,-117.747701
Irwindale,34.1069927,-117.9342148
Isleton,38.1618614,-121.6116206
Jackson,38.3488024,-120.7741018
Jacumba,32.61858505,-116.18746639559515
Jamestown,37.9588565,-120.40443116813324
Jamul,32.7169988,-116.87613470000001
Jenner,50.75,-111.183333
Johannesburg,35.3732015,-117.64328743049795
Joshua Tree,34.12652620000001,-116.32093491214891
June Lake,37.78075065,-119.08080154145368
Kearny Mesa,32.828924300000004,-117.14241499999999
Kelseyville,38.9779531,-122.8394375
Kensington,46.4360505,-63.63787320000001
Kentfield,37.9519958,-122.55721159999999
Kernville,35.733073499999996,-118.43394593561493
Kings Beach,39.2362794,-120.0233622
Kings Canyon National Park,36.91527845,-118.60765585962608
Klamath,41.533995,-124.01556516400869
Knights Landing,38.79962379999999,-121.71829699999999
Kyburz,38.77462979999999,-120.29685959999999
La,61.0666922,-107.9917071
La Canada,61.0666922,-107.9917071
La Costa,44.2093005,11.331532300000001
La Crescenta,34.230429,-118.2350733
La Crescenta-Montrose,34.2192742,-118.23188710000001
La Habra,33.9316066,-117.9454867
La Habra Heights,33.960454600000006,-117.9504255
La Honda,37.3191086,-122.27413519999999
La Mesa,32.7678288,-117.02308390000002
La Mirada,33.906097100000004,-118.0107092
La Palma,33.846404,-118.04673059999999
La Puente,34.01979,-117.95036770000002
La Quinta,33.66365425,-116.27770251129586
La Verne,34.10084260000001,-117.7678355
Ladera Heights,33.9943126,-118.37350890000002
Ladera Ranch,33.551016499999996,-117.63854009999999
Laguna Niguel,33.5225261,-117.70755259999999
Laguna Woods,33.6106076,-117.72497220000001
Lagunitas,38.011312,-122.7022085
Lagunitas-Forest Knolls,38.0149754,-122.69004050000001
Lake Arrowhead,34.2489684,-117.1913321
Lake Elsinore,33.668077200000006,-117.3272615
Lake Isabella,35.638326,-118.48446958199331
Lakeport,39.0433935,-122.9216668687472
Lakeshore,37.2521504,-119.1737399
Lakeside,32.85041,-116.89600133970856
Lancaster,34.6992504,-118.15675690371792
Landers,34.266114,-116.39307029999999
Largo,39.0215633,-123.13000320000002
Lathrop,37.8227046,-121.27661
Laytonville,39.672754,-123.49403629674795
Lebec,34.841643499999996,-118.8648189
Leggett,39.8657071,-123.71418840000001
Lemon Grove,32.7425516,-117.0314172
Lemoore,36.3006495,-119.78271219999999
Lennox,33.9390306,-118.35744270000001
Leona Valley,34.618321,-118.288133
Lincoln,38.8598295,-121.34239205792437
Lindsay,36.2030064,-119.08816000000002
Little River,39.2707318,-123.7883473
Live Oak,39.2757232,-121.6599701
Lockeford,38.163529700000005,-121.14994469999999
Lodi,38.1301968,-121.2724473
Loma Linda,34.075626,-117.25204775
Loma Mar,37.2710032,-122.30816259999999
Lompoc,34.6391501,-120.4579409
Lone Pine,36.583176,-118.07835929489715
Loomis,38.8212889,-121.1930041
Los Alamos,34.7379311,-120.26591046240952
Los Alto Hills,34.1122991,-118.31342820000002
Los Altos Hills,37.379662700000004,-122.13746370000001
Los Banos,37.059225299999994,-120.8505342
Los Osos,35.3107214,-120.8323487
Lost Hills,35.63238699999999,-119.67765694437855
Lotus,38.801567999999996,-120.9085501
Lucerne Valley,34.4436167,-116.94552390000001
Ludlow,34.7218178,-116.1619558
Lynwood,33.924831,-118.2024154
Madera,36.9622745,-120.05946850000001
Magalia,39.8219895,-121.6106544865772
Manteca,37.7986184,-121.21171480000001
Mar Vista,34.0037605,-118.43916409999999
Marin County,38.0409144,-122.61996380000001
Mariposa,37.570147999999996,-119.90365919999999
Markleeville,38.667185499999995,-119.83128225726742
Martinez,38.0138934,-122.13386740000001
Marysville,39.1457247,-121.59135159999998
McClellan,40.4751408,-123.70864990000001
McCloud,41.2497685,-122.135266342664
McKinleyville,40.966005,-124.102789774524
Meadows,48.9936523,-58.0558122
Meeks Bay,39.034352,-120.1240761
Menifee,33.68644320000001,-117.1770437
Mentone,34.058840000000004,-117.10960647472359
Merced,37.1641544,-120.7678602
Middletown,38.7528585,-122.62419487634216
Midpines,37.544379799999994,-119.9204507
Milbrae,32.702263,-117.113579
Mineral,40.3469311,-121.5993148
Mira Loma,33.98208635,-117.51535113578815
Mission Beach,32.7825908,-117.2524943
Mission Hills,34.687584,-120.43901754304564
Mission Valley,32.7705017,-117.1540695
Mission Viejo,33.5965685,-117.659405
Modesto,37.6390972,-120.99687820000001
Mokelumne Hill,38.3013435,-120.71114384392945
Mono Hot Springs,37.3265435,-119.0172288
Montara,37.549420500000004,-122.49354100463822
Montclair,34.0775104,-117.68977759999999
Monte Rio,38.466359000000004,-123.01964563931804
Montecito,34.436879000000005,-119.62406510839041
Montrose,49.0784097,-117.59286159999999
Moraga,37.834897,-122.12883000000001
Morgan Hill,37.130408,-121.65449740000001
Mount Baldy,51.013126299999996,-115.04968640000001
Mount Hermon,37.0510596,-122.0585746
Mount Laguna,32.866974400000004,-116.4188217
Mount Shasta,41.409189700000006,-122.194953
Mt Baldy,45.978621999999994,-74.1373095
Mt Shasta,41.409189700000006,-122.194953
Mt. Wilson,34.2238723,-118.06118719999999
